id,speaker,text,auto_advance,cps
intro.01,,물이 빠진 웅덩이에 어린 연어 한 마리가 남아 있었다.,1.4,
intro.02,아이,너도 이제 멀리 가는구나. 나도 곧 여기서 떠나.,0.6,
intro.03,아이,그럼 우리…,0.8,
intro.04,아이,언젠가 다시 여기로 돌아오자.,0.8,
intro.05,연이 (어린 시절),…돌아올게.,1,
intro.06,,그 약속으로부터 몇 해가 지났다.,1.2,
intro.07,연이,여기다. 이 강을 거슬러 올라가면 그곳이 있다. 그때 정한 곳까지 간다.,0.8,

cutscene1.01,,물 위에서 가느다란 줄이 내려왔다.,1.2,
cutscene1.02,아이,언젠가 다시 여기로 돌아오자.,1.2,
cutscene1.03,연이,…그 약속이 아직 여기 있어.,,
cutscene1.04,연이,이 정도로 멈출 이유는 없다.,,

cutscene2.01,연이,저건 피해서 지날 수 있는 크기가 아닌데.,,
cutscene2.02,연이,무섭다. 잠깐 멈춰도 되지 않을까.,,
cutscene2.03,,그러나 처음 정한 곳은 아직 저 위에 있었다.,1.2,
cutscene2.04,연이,돌아가려고 온 거잖아. 방법만 바꾸면 돼.,,

cutscene3.01,연이,지쳤다. 지느러미가 말을 안 듣는다.,,
cutscene3.02,연이,여기까지면 충분한가.,1.2,
cutscene3.03,연이,……아니.,1,
cutscene3.04,연이,여기까지가 내가 정한 끝은 아니야.,,

ending.01,연이,…여기다. 약속한 곳.,1.2,
ending.02,아이,언젠가 다시 여기로 돌아오자.,1.2,
ending.03,어른이 된 아이,정말로 돌아왔구나.,1,
ending.04,,"같은 길을 걸어온 것은 아니었다.
그래도 처음 향했던 곳은 같았다.",1.6,
ending.05,,"初志一貫
처음 품은 뜻을, 끝까지.",2,
